"","BB","CC","CS","LT","MM","PS","RS","RWF","SMB","SS","WS"
"2013_2",0,0,0,0,0,0.023083264633141,0.0741962077493817,0.000824402308326463,0.00412201154163232,0.0140148392415499,0.00164880461665293
"2013_3",0,0,0,0,0,0.0156739811912226,0.00470219435736677,0,0.0470219435736677,0.0109717868338558,0
"2013_4",0,0,0,0,0,0.0258992805755396,0.0201438848920863,0.000719424460431655,0.000719424460431655,0.00359712230215827,0.000719424460431655
"2013_5",0,0.0158102766798419,0,0,0.0158102766798419,0.977075098814229,0.00632411067193676,0,0.126482213438735,0.00316205533596838,0.00316205533596838
"2013_6",0,0,0,0,0,0.0474732006125574,0,0,0.0934150076569678,0.00459418070444104,0.00306278713629403
"2013_7",0,0,0,0.00114285714285714,0,0.0171428571428571,0.00685714285714286,0,0.056,0.00457142857142857,0.00228571428571429
"2013_8",0,0,0,0.00298507462686567,0,0.0208955223880597,0.00298507462686567,0,0.0417910447761194,0.00895522388059702,0.00298507462686567
"2013_9",0,0,0,0.00134589502018843,0,0.0309555854643338,0,0,0.0901749663526245,0.0121130551816958,0.00134589502018843
"2013_10",0,0,0,0,0,0.129757785467128,0.000865051903114187,0,0.120242214532872,0.00519031141868512,0.00259515570934256
"2013_11",0,0,0,0,0,0.0421585160202361,0,0,0.111298482293423,0,0.00168634064080944
"2013_12",0,0,0,0,0,0.0307017543859649,0,0,0.0394736842105263,0.00219298245614035,0.0043859649122807
"2013_13",0,0.00217864923747277,0,0,0,0.0827886710239651,0,0,0.0588235294117647,0.00217864923747277,0
"2013_14",0,0.00189035916824197,0,0.00189035916824197,0,0.111531190926276,0,0,0.0604914933837429,0,0.0056710775047259
"2013_15",0,0,0,0,0,0.0926430517711172,0,0,0.0572207084468665,0,0.0136239782016349
"2013_16",0,0,0,0,0,0.0285714285714286,0,0,0.0857142857142857,0,0
"2013_17",0,0,0,0,0,0.0181268882175227,0.00151057401812689,0,0.0483383685800604,0.00151057401812689,0
"2013_18",0,0,0.00213675213675214,0,0.00641025641025641,0.0726495726495727,0,0,0.032051282051282,0,0
"2013_19",0,0.0106951871657754,0.0053475935828877,0.00267379679144385,0.0053475935828877,0.0748663101604278,0.00267379679144385,0,0.0240641711229947,0,0.00267379679144385
"2013_20",0,0.00186915887850467,0.00560747663551402,0,0,0.0803738317757009,0,0,0.114018691588785,0.00186915887850467,0.00186915887850467
"2013_21",0,0.0093984962406015,0.0150375939849624,0,0.0018796992481203,0.0845864661654135,0.0037593984962406,0,0.0056390977443609,0.0037593984962406,0.0093984962406015
"2013_22",0,0,0.00429799426934097,0,0,0.0100286532951289,0.00716332378223496,0,0.0157593123209169,0.00429799426934097,0.0100286532951289
"2013_23",0,0.001,0,0.001,0.003,0.021,0.007,0,0.028,0.004,0
"2013_24",0,0,0,0.0024330900243309,0,0.0364963503649635,0,0,0.0510948905109489,0.0024330900243309,0
"2013_25",0,0.00309597523219814,0.00928792569659443,0,0.00309597523219814,0.0557275541795666,0.00309597523219814,0,0.0278637770897833,0.00154798761609907,0
"2013_26",0,0,0.0124378109452736,0,0,0.0373134328358209,0,0,0.054726368159204,0.00248756218905473,0
"2013_27",0,0.00338409475465313,0.00169204737732657,0,0.0050761421319797,0.0913705583756345,0,0,0.027072758037225,0.00169204737732657,0
"2013_28",0,0.00137741046831956,0.00275482093663912,0,0.0110192837465565,0.0550964187327824,0.00413223140495868,0,0.00964187327823691,0.00413223140495868,0.00137741046831956
"2013_29",0,0,0,0,0,0.00726392251815981,0,0,0.0944309927360775,0.00484261501210654,0.0121065375302663
"2013_30",0,0,0,0,0,0.0938461538461538,0,0,0.0707692307692308,0.00153846153846154,0.00153846153846154
"2013_31",0,0,0,0.000843170320404722,0.00421585160202361,0.0185497470489039,0,0,0.0118043844856661,0.00843170320404722,0
"2013_32",0,0.00319488817891374,0.00638977635782748,0,0,0.0383386581469649,0,0,0.0287539936102236,0.00638977635782748,0.00638977635782748
"2014_1",0,0,0,0.0101010101010101,0.0101010101010101,0.0303030303030303,0.0101010101010101,0,0.303030303030303,0.0303030303030303,0
"2014_2",0,0,0,0,0,0.00551977920883165,0.101195952161914,0,0.00643974241030359,0.00275988960441582,0
"2014_3",0,0,0,0.0013550135501355,0,0.00813008130081301,0.00948509485094851,0,0.0691056910569106,0.00813008130081301,0
"2014_4",0,0.000903342366757001,0.002710027100271,0,0,0.00993676603432701,0.107497741644083,0.001806684733514,0.00632339656729901,0.002710027100271,0.000903342366757001
"2014_5",0,0.029925187032419,0.0232751454696592,0,0.0166251039068994,0.259351620947631,0,0,0.199501246882793,0,0.00997506234413965
"2014_6",0,0,0,0,0,0.0362694300518135,0,0,0.126079447322971,0.00345423143350604,0
"2014_7",0,0,0,0,0,0.00746268656716418,0.00149253731343284,0,0.0850746268656716,0.00447761194029851,0.00149253731343284
"2014_8",0,0,0,0,0,0.0087719298245614,0,0,0.0964912280701754,0.0109649122807018,0
"2014_9",0,0.00114025085518814,0,0,0,0.0296465222348917,0,0,0.106043329532497,0.00570125427594071,0
"2014_10",0,0,0,0,0,0.088646967340591,0,0,0.0793157076205288,0.00388802488335925,0
"2014_11",0,0,0,0,0,0.0391120507399577,0,0,0.0813953488372093,0.00211416490486258,0
"2014_12",0,0,0,0,0,0.0540540540540541,0.0036036036036036,0.0036036036036036,0.0162162162162162,0.00540540540540541,0
"2014_13",0,0,0,0,0,0.112526539278132,0,0,0.0764331210191083,0.00636942675159236,0
"2014_14",0,0.00295420974889217,0,0.00147710487444609,0,0.0871491875923191,0,0,0.0738552437223043,0.00443131462333826,0
"2014_15",0,0.00175131348511384,0,0,0,0.0577933450087566,0,0.00175131348511384,0.0665499124343257,0,0.010507880910683
"2014_16",0,0,0,0,0,0.046594982078853,0,0,0.0573476702508961,0.003584229390681,0
"2014_17",0,0,0,0,0,0.0103950103950104,0.00207900207900208,0,0.0478170478170478,0,0
"2014_18",0,0,0.037117903930131,0,0,0.0786026200873362,0,0,0.0240174672489083,0.00218340611353712,0.00873362445414847
"2014_19",0,0.00903614457831325,0.0120481927710843,0,0.00301204819277108,0.0903614457831325,0.00903614457831325,0,0.0240963855421687,0,0.00301204819277108
"2014_20",0,0.0016366612111293,0.0016366612111293,0,0,0.0752864157119476,0,0,0.0801963993453355,0,0
"2014_21",0,0.0337552742616034,0,0,0,0.0253164556962025,0.00421940928270042,0,0.0210970464135021,0.00421940928270042,0
"2014_22",0,0.0297297297297297,0.072972972972973,0,0,0.0378378378378378,0.0027027027027027,0,0.00540540540540541,0.00540540540540541,0.0027027027027027
"2014_23",0,0.00120772946859903,0.0072463768115942,0.00120772946859903,0,0.00120772946859903,0.0036231884057971,0,0.00483091787439614,0.00603864734299517,0.0036231884057971
"2014_24",0,0,0,0.0012987012987013,0,0.0103896103896104,0.0103896103896104,0,0.0116883116883117,0.0103896103896104,0
"2014_25",0,0,0.0021505376344086,0,0.0021505376344086,0.0172043010752688,0.00645161290322581,0,0.0365591397849462,0.0021505376344086,0
"2014_26",0,0.0032,0.008,0.0032,0.0016,0.0576,0.0016,0,0.0288,0,0.0016
"2014_27",0,0,0,0,0,0.0237467018469657,0,0,0.0870712401055409,0,0
"2014_28",0,0.00675675675675676,0,0,0,0.0698198198198198,0,0,0.0202702702702703,0,0
"2014_29",0,0.00446428571428571,0,0,0.00297619047619048,0.0267857142857143,0.0163690476190476,0,0.00446428571428571,0,0
"2014_30",0,0,0,0,0,0.0112359550561798,0.0224719101123595,0,0.0758426966292135,0.00561797752808989,0
"2014_31",0,0,0,0,0,0.0143540669856459,0.00159489633173844,0,0.113237639553429,0.00159489633173844,0
"2014_32",0,0.0039241334205363,0.0091563113145847,0.00065402223675605,0.00196206671026815,0.0091563113145847,0.00196206671026815,0.00065402223675605,0.0143884892086331,0.0026160889470242,0.00196206671026815
"2015_1",0,0,0,0,0,0.0353982300884956,0.117994100294985,0,0.342182890855457,0.117994100294985,0
"2015_2",0,0,0,0,0,0.00330578512396694,0.0380165289256198,0.00165289256198347,0.0231404958677686,0.0115702479338843,0
"2015_3",0,0,0,0,0,0.00269179004037685,0.0174966352624495,0,0.109017496635262,0.0107671601615074,0
"2015_4",0,0.0175718849840256,0,0,0,0.0191693290734824,0.231629392971246,0,0.00159744408945687,0,0
"2015_5",0,0.0408858603066439,0.0885860306643952,0,0.00340715502555366,0.391822827938671,0.00681431005110733,0,0.211243611584327,0.00340715502555366,0.010221465076661
"2015_6",0,0.0014367816091954,0.0014367816091954,0,0,0.0129310344827586,0.0014367816091954,0,0.166666666666667,0,0.0014367816091954
"2015_7",0,0,0,0,0,0.0100840336134454,0.00672268907563025,0,0.092436974789916,0.0184873949579832,0
"2015_8",0,0,0,0,0,0.00389105058365759,0,0,0.0505836575875486,0.0155642023346304,0
