SITE.N,OLD SITE.N,SITE,HAB,HAB2,HAB3,DEPTH,E.UTM1,N.UTM1,E.UTM2,N.UTM2,ACCUR.H,ELEVAT,,,,,,,,
BEF.LML.266,207,QEF.266,UNK,,,,,,,,,,,,,,,,,
BEF.LML.268,208,QEF.268,UNK,,,,,,,,,,,,,,,,,
BEF.LML.269,209,QEF.269,UNK,,,,,,,,,,,,,,,,,
BEF.LML.270,210,QEF.270,UNK,,,,,,,,,,,,,,,,,
BEF.LML.273,211,QEF.273,UNK,,,,,,,,,,,,,,,,,
BEF.LML.276,212,QEF.276,UNK,,,,,,,,,,,,,,,,,
BEF.LML.277,213,QEF.277,UNK,,,,,,,,,,,,,,,,,
BEF.LML.278,214,QEF.278,UNK,,,,,,,,,,,,,,,,,
BEF.LML.281,215,QEF.281,UNK,,,,,,,,,,,,,,,,,
BEF.LML.282,216,QEF.282,UNK,,,,,,,,,,,,,,,,,
BEF.LML.284,217,QEF.284,UNK,,,,,,,,,,,,,,,,,
BEF.LML.287,218,QEF.287,UNK,,,,,,,,,,,,,,,,,
BEF.LML.288,219,QEF.288,UNK,,,,,,,,,,,,,,,,,
BEF.LML.290,220,QEF.290,UNK,,,,,,,,,,,,,,,,,
BEF.LML.291,221,QEF.291,UNK,,,,,,,,,,,,,,,,,
BEF.LML.293,222,QEF.293,UNK,,,,,,,,,,,,,,,,,
BEF.LML.294,223,QEF.294,UNK,,,,,,,,,,,,,,,,,
BEF.LML.295,224,QEF.295,UNK,,,,,,,,,,,,,,,,,
BEF.LML.299,225,QEF.299,UNK,,,,,,,,,,,,,,,,,
BEF.LML.300,226,QEF.300,UNK,,,,,,,,,,,,,,,,,
BEF.LML.303,227,QEF.303,UNK,,,,,,,,,,,,,,,,,
BEF.LML.304,228,QEF.304,UNK,,,,,,,,,,,,,,,,,
BEF.LML.305,229,QEF.305,UNK,,,,,,,,,,,,,,,,,
BEF.LML.306,230,QEF.306,UNK,,,,,,,,,,,,,,,,,
BEF.LML.308,231,QEF.308,UNK,,,,,,,,,,,,,,,,,
BEF.LML.309,232,QEF.309,UNK,,,,,,,,,,,,,,,,,
BEF.LML.311,233,QEF.311,UNK,,,,,,,,,,,,,,,,,
BEF.LML.312,234,QEF.312,UNK,,,,,,,,,,,,,,,,,
BEF.LML.314,235,QEF.314,UNK,,,,,,,,,,,,,,,,,
BEF.LML.316,236,QEF.316,UNK,,,,,,,,,,,,,,,,,
BEF.LML.317,237,QEF.317,UNK,,,,,,,,,,,,,,,,,
BEF.LML.320,238,QEF.320,UNK,,,,,,,,,,,,,,,,,
BEF.LML.322,239,QEF.322,UNK,,,,,,,,,,,,,,,,,
BEF.LML.323,240,QEF.323,UNK,,,,,,,,,,,,,,,,,
BEF.LML.324,241,QEF.324,UNK,,,,,,,,,,,,,,,,,
BEF.LML.327,242,QEF.327,UNK,,,,,,,,,,,,,,,,,
BEF.LML.328,243,QEF.328,UNK,,,,,,,,,,,,,,,,,
BEF.LML.330,244,QEF.330,UNK,,,,,,,,,,,,,,,,,
BEF.LML.331,245,QEF.331,UNK,,,,,,,,,,,,,,,,,
BEF.LML.332,246,QEF.332,UNK,,,,,,,,,,,,,,,,,
BEF.LML.333,247,QEF.333,UNK,,,,,,,,,,,,,,,,,
BEF.LML.335,248,QEF.335,UNK,,,,,,,,,,,,,,,,,
BEF.LML.336,249,QEF.336,UNK,,,,,,,,,,,,,,,,,
BEF.LML.337,250,QEF.337,UNK,,,,,,,,,,,,,,,,,
BEF.LML.340,251,QEF.340,UNK,,,,,,,,,,,,,,,,,
BEF.LML.341,252,QEF.341,UNK,,,,,,,,,,,,,,,,,
BEF.LML.342,253,QEF.342,UNK,,,,,,,,,,,,,,,,,
BEF.LML.346,254,QEF.346,UNK,,,,,,,,,,,,,,,,,
BEF.LML.349,255,QEF.349,UNK,,,,,,,,,,,,,,,,,
BEF.LML.350,256,QEF.350,UNK,,,,,,,,,,,,,,,,,
BEF.LML.351,257,QEF.351,UNK,,,,,,,,,,,,,,,,,
BEF.LML.352,258,QEF.352,UNK,,,,,,,,,,,,,,,,,
BEF.LML.353,259,QEF.353,UNK,,,,,,,,,,,,,,,,,
BEF.LML.355,260,QEF.355,UNK,,,,,,,,,,,,,,,,,
BEF.LML.356,261,QEF.356,UNK,,,,,,,,,,,,,,,,,
BEF.LML.357,262,QEF.357,UNK,,,,,,,,,,,,,,,,,
BEF.LML.358,263,QEF.358,UNK,,,,,,,,,,,,,,,,,
BEF.LML.359,264,QEF.359,UNK,,,,,,,,,,,,,,,,,
BEF.LML.362,265,QEF.362,UNK,,,,,,,,,,,,,,,,,
BEF.LML.365,266,QEF.365,UNK,,,,,,,,,,,,,,,,,
BEF.LML.NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
BEF.FBL.001,BEF.FBL.001,LODGE AND GRASSY SHORELINE,RW,,,,180505282,4828042,180505216,4828179,10,,,,,,,,,
BEF.FBL.002,BEF.FBL.002,ROCK PILE MUD FLATS TO STAIRCASE SEEP,S,,,,180505216,4828179,180505333,4828420,,,,,,,,,,
BEF.FBL.003,BEF.FBL.003,STAIRCASE SEEP TO FRED TAYLOR'S BOATHOUSE,S,,,,180505333,4828420,180505520,4828544,,,,,,,,,,
BEF.FBL.004,BEF.FBL.004,FRED TAYLOR'S BOATHOUSE TO BIG RED ROCK,SW,,,,180505520,4828544,180505637,4828620,,,,,,,,,,
BEF.FBL.005,BEF.FBL.005,BIG RED ROCK TO TRIANGLE ROCK NOTCH,SW,,,,180505637,4828620,180505837,4828757,,,,,,,,,,
BEF.FBL.006,BEF.FBL.006,TRIANGLE ROCK NOTCH TO CORNER,RW,,,,180505837,4828757,180506062,4828856,,,,,,,,,,
BEF.FBL.007,BEF.FBL.007,CORNER TO X-DOOR BOATHOUSE,S,,,,180506062,4828856,180505886,4828530,,,,,,,,,,
BEF.FBL.008,BEF.FBL.008,X-DOOR BOATHOUSE TO BALCONY BOATHOUSE,S,,,,180505886,4828530,180505727,4828198,,,,,,,,,,
BEF.FBL.009,BEF.FBL.009,CANACHAGALA BAY,S,,,,180505727,4828198,180505645,4828051,,,,,,,,,,
BEF.FBL.010,BEF.FBL.010,CANACHAGALA BAY TO SINGLE DOOR BOATHOUSE,RW,,,,180505645,4828051,180505462,4827790,,,,,,,,,,
BEF.FBL.011,BEF.FBL.011,SINGLE DOOR BOATHOUSE TO GNARLY MAPLE,SW,,,,180505462,4827790,180505222,4827453,,,,,,,,,,
BEF.FBL.012,BEF.FBL.012,GNARLY MAPLE TO ROUGHCUT BOATHOUSE,SW,,,,180505222,4827453,180505091,4827357,,,,,,,,,,
BEF.FBL.013,BEF.FBL.013,WOODS POINT,S,,,,180505091,4827357,1850504941,4827483,,,,,,,,,,
BEF.FBL.014,BEF.FBL.014,OUTLET BAY,S,,,,180504941,4827483,180504840,4827505,,,,,,,,,,
BEF.FBL.015,BEF.FBL.015,ANNABELLE'S RUN,S,,,,180504840,4827505,180505282,4828042,,,,,,,,,,
BEF.FBL.016,BEF.FBL.016,LODGE,S,,,,,,,,,,,,,,,,,
BEF.FBL.017,BEF.FBL.017,BIG ROCKS,R,,,,,,,,,,,,,,,,,
BEF.FBL.018,BEF.FBL.018,ROSS TO TAYLOR,S,,,,,,,,,,,,,,,,,
BEF.FBL.019,BEF.FBL.019,TAYLOR TO BIG ROCKS,RW,,,,,,,,,,,,,,,,,
BEF.FBL.020,BEF.FBL.020,BIG ROCKS TO SAXON,S,,,,,,,,,,,,,,,,,
BEF.FBL.021,BEF.FBL.021,SAXON TO ROCK CLIFF,RW,,,,,,,,,,,,,,,,,
BEF.FBL.022,BEF.FBL.022,ROCK CLIFF TO ROCK CUT,RW,,,,,,,,,,,,,,,,,
BEF.FBL.023,BEF.FBL.023,ROCK CUT TO FIRST BRUSHPILE,S,,,,,,,,,,,,,,,,,
BEF.FBL.024,BEF.FBL.024,FIRST BRUSHPILE TO SECOND BRUSHPILE,SW,,,,,,,,,,,,,,,,,
BEF.FBL.025,BEF.FBL.025,SECOND BRUSHPILE TO DUPREE,S,,,,,,,,,,,,,,,,,
BEF.FBL.026,BEF.FBL.026,DUPREE TO BOSTWICK,R,,,,,,,,,,,,,,,,,
BEF.FBL.027,BEF.FBL.027,BOSTWICK TO CANACHAGALA LANDING,S,,,,,,,,,,,,,,,,,
BEF.FBL.028,BEF.FBL.028,CANACHAGALA LANDING TO BEFORE TRIB 1,R,,,,,,,,,,,,,,,,,
BEF.FBL.029,BEF.FBL.029,BEFORE TRIB 1  TO BLOWDOWNS,S,,,,,,,,,,,,,,,,,
BEF.FBL.030,BEF.FBL.030,BLOWDOWNS TO TRIB 6,SW,,,,,,,,,,,,,,,,,
BEF.FBL.031,BEF.FBL.031,TRIB 6 TO WOODY COVE,SW,,,,,,,,,,,,,,,,,
BEF.FBL.032,BEF.FBL.032,WOODY COVE,SW,,,,,,,,,,,,,,,,,
BEF.FBL.033,BEF.FBL.033,WOODS POINT,S,,,,,,,,,,,,,,,,,
BEF.FBL.034,BEF.FBL.034,WOOD'S CAMP SHORELINE,SW,,,,,,,,,,,,,,,,,
BEF.FBL.035,BEF.FBL.035,OUTLET BAY,SW,,,,,,,,,,,,,,,,,
BEF.FBL.036,BEF.FBL.036,OUTLET BAY TO TAMARACK BLOWDOWN,S,,,,,,,,,,,,,,,,,
